Severity level,Food name,Description,Management,Mechanism,References,drug_id
2,Tyrosine-rich foods,"Foods that contain large amounts of tyramine may precipitate a hypertensive crisis in patients treated with monoamine oxidase (MAO) inhibitors.  The mechanism involves inhibition of MAO-A, the enzyme responsible for metabolizing exogenous amines such as tyramine in the gut and preventing them from being absorbed intact.  Once absorbed, tyramine is metabolized to octopamine, a substance that is believed to displace norepinephrine from storage granules.","Dietary restriction is not ordinarily required during rasagiline treatment with respect to most foods and beverages that may contain tyramine such as air-dried and fermented meats or fish, aged cheese...More",Synergy,,DDInter1572
No matching records,,,,,,DDInter1573
No matching records,,,,,,DDInter1574
2,coffee,"Caffeine and other xanthine derivatives are nonspecific, competitive antagonists of adenosine receptors.  As such, they may interfere with the vasodilating effect of regadenoson, an adenosine receptor agonist.",Patients should avoid consumption of caffeine-containing products for at least 12 hours prior to administration of regadenoson for myocardial perfusion imaging.,Antagonism,,DDInter1575
2,high-fat foods,"Depending on the amount of fat, food may enhance the oral bioavailability of both regorafenib and its active metabolites, M-2 and M-5.","To ensure optimal oral absorption, regorafenib should be administered with a low-fat breakfast that contains less than 30% fat.  Examples of a low-fat breakfast include:  2 slices of white toast with ...More",Absorption,,DDInter1576
2,grapefruit juice,"Depending on the amount of fat, food may enhance the oral bioavailability of both regorafenib and its active metabolites, M-2 and M-5.","To ensure optimal oral absorption, regorafenib should be administered with a low-fat breakfast that contains less than 30% fat.  Examples of a low-fat breakfast include:  2 slices of white toast with ...More",Others,,DDInter1576
No matching records,,,,,,DDInter1577
2,alcohol,Concomitant use of remdesivir with other agents that are known to induce hepatotoxicity may theoretically increase the risk of liver injury.  Data from investigational use and clinical studies suggest that remdesivir may be associated with hepatotoxic effects.,"Until more information is available, concomitant use of remdesivir with known hepatotoxic drugs should be avoided when possible.  Liver function should be evaluated prior to starting remdesivir and mo...More",Synergy,,DDInter1578
2,alcohol,"Ethanol may potentiate the central nervous system (CNS) depressant effects of opioid analgesics.  Concomitant use may result in additive CNS depression and impairment of judgment, thinking, and psychomotor skills.  In more severe cases, hypotension, respiratory depression, profound sedation, coma, or even death may occur.",Concomitant use of opioid analgesics with ethanol should be avoided.,Synergy,,DDInter1579
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1580
2,alcohol,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled d...More",Others,,DDInter1581
2,grapefruit juice,Grapefruit juice may increase the plasma concentrations of orally administered drugs that are substrates of the CYP450 3A4 isoenzyme.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.,Patients who regularly consume grapefruit or grapefruit juice should be monitored for adverse effects and altered plasma concentrations of drugs that undergo significant presystemic metabolism by CYP4...More,Metabolism,,DDInter1581
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1582
No matching records,,,,,,DDInter1583
No matching records,,,,,,DDInter1584
No matching records,,,,,,DDInter1585
No matching records,,,,,,DDInter1586
2,high-fat foods,Food enhances the oral absorption and bioavailability of ribavirin.  Administration of a single oral dose of ribavirin following a high-fat meal delayed absorption (Tmax was doubled) but increased the mean peak plasma concentration (Cmax) and area under the concentration-time curve (AUC) by up to 70% compared to administration in the fasting state.,"To ensure maximal oral absorption, ribavirin should be administered with or immediately after a meal.",Absorption,,DDInter1587
2,grapefruit juice,Pomegranates and grapefruit may increase the systemic exposure to ribociclib.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in these fruits.,Patients receiving ribociclib should avoid consumption of pomegranates or pomegranate juice and grapefruit or grapefruit juice during treatment.,Metabolism,,DDInter1588
2,pomegranates,Pomegranates and grapefruit may increase the systemic exposure to ribociclib.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in these fruits.,Patients receiving ribociclib should avoid consumption of pomegranates or pomegranate juice and grapefruit or grapefruit juice during treatment.,Metabolism,,DDInter1588
No matching records,,,,,,DDInter1589
No matching records,,,,,,DDInter1590
No matching records,,,,,,DDInter1591
No matching records,,,,,,DDInter1592
No matching records,,,,,,DDInter1593
No matching records,,,,,,DDInter1594
2,grapefruit juice,Coadministration with grapefruit or grapefruit juice may increase the plasma concentrations of rilpivirine.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall induced by certain compounds present in grapefruit.,"Coadministration of grapefruit or grapefruit juice with rilpivirine should preferably be avoided.  For optimal absorption, it is recommended to take rilpivirine on a regular schedule with a meal.",Metabolism,,DDInter1595
No matching records,,,,,,DDInter1596
No matching records,,,,,,DDInter1597
2,grapefruit juice,Coadministration with grapefruit or grapefruit juice may increase the plasma concentrations of rimegepant.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall induced by certain compounds present in grapefruit.,"Rimegepant may be administered with or without food.  Until more information is available, patients receiving rimegepant may want to avoid the regular consumption of grapefruits and grapefruit juice t...More",Metabolism,,DDInter1598
No matching records,,,,,,DDInter1599
2,cigarette,Smoking may decrease the plasma concentrations of riociguat.  The proposed mechanism is induction of the CYP450 1A1-mediated metabolism of riociguat by polycyclic aromatic hydrocarbons present in cigarette smoke.,"Riociguat dosages higher than 2.5 mg three times a day may be considered in cigarette smokers, if tolerated, so as to match the exposure seen in nonsmoking patients.  However, safety and effectiveness...More",Metabolism,,DDInter1600
2,grapefruit juice,"Grapefruit juice may increase the plasma concentrations of orally administered drugs that are substrates of the CYP450 3A4 isoenzyme.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  Because grapefruit juice inhibits primarily intestinal rather than hepatic CYP450 3A4, the magnitude of interaction is greatest for those drugs that undergo significant presystemic metabolism by CYP450 3A4 (i.e., drugs with low oral bioavailability).  In general, the effect of grapefruit juice is concentration-, dose- and preparation-dependent, and can vary widely among brands.",Patients who regularly consume grapefruit or grapefruit juice should be monitored for adverse effects and altered plasma concentrations of drugs that undergo significant presystemic metabolism by CYP4...More,Metabolism,,DDInter1601
2,orange juice,"Grapefruit juice may increase the plasma concentrations of orally administered drugs that are substrates of the CYP450 3A4 isoenzyme.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  Because grapefruit juice inhibits primarily intestinal rather than hepatic CYP450 3A4, the magnitude of interaction is greatest for those drugs that undergo significant presystemic metabolism by CYP450 3A4 (i.e., drugs with low oral bioavailability).  In general, the effect of grapefruit juice is concentration-, dose- and preparation-dependent, and can vary widely among brands.",Patients who regularly consume grapefruit or grapefruit juice should be monitored for adverse effects and altered plasma concentrations of drugs that undergo significant presystemic metabolism by CYP4...More,Metabolism,,DDInter1601
No matching records,,,,,,DDInter1602
No matching records,,,,,,DDInter1603
2,food,"Food significantly decreases the bioavailability of risedronate, possibly to negligible levels.","Risedronate should be administered with 180 to 240 mL (6 to 8 ounces) of plain water, at least 30 minutes before the first food, beverage, or medication of the day.  Patients should remain upright for...More",Absorption,,DDInter1604
2,alcohol,"Risperidone oral solution is not compatible with either tea or cola.  In addition, alcohol may potentiate some of the pharmacologic effects of risperidone.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Risperidone oral solution should not be mixed with tea or cola.  It may be taken with water, coffee, orange juice, or lowfat milk.  Patients should also be advised to avoid consumption of alcohol.",Synergy,,DDInter1605
2,cola,"Risperidone oral solution is not compatible with either tea or cola.  In addition, alcohol may potentiate some of the pharmacologic effects of risperidone.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Risperidone oral solution should not be mixed with tea or cola.  It may be taken with water, coffee, orange juice, or lowfat milk.",Others,,DDInter1605
2,green tea,"Risperidone oral solution is not compatible with either tea or cola.  In addition, alcohol may potentiate some of the pharmacologic effects of risperidone.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","Risperidone oral solution should not be mixed with tea or cola.  It may be taken with water, coffee, orange juice, or lowfat milk.",Others,,DDInter1605
No matching records,,,,,,DDInter1606
2,high-fat foods,"Administration with food may modestly affect the bioavailability of ritonavir from the various available formulations.  When the oral solution was given under nonfasting conditions, peak ritonavir concentrations decreased 23% and the extent of absorption decreased 7% relative to fasting conditions.  Dilution of the oral solution (within one hour of dosing) with 240 mL of chocolate milk or a nutritional supplement (Advera or Ensure) did not significantly affect the extent and rate of ritonavir absorption.  When a single 100 mg dose of the tablet was administered with a high-fat meal (907 kcal; 52% fat, 15% protein, 33% carbohydrates), approximately 20% decreases in mean peak concentration (Cmax) and systemic exposure (AUC) were observed relative to administration after fasting.  Similar decreases in Cmax and AUC were reported when the tablet was administered with a moderate-fat meal.  In contrast, the extent of absorption of ritonavir from the soft gelatin capsule formulation was 13% higher when administered with a meal (615 KCal; 14.5% fat, 9% protein, and 76% carbohydrate) relative to fasting.",Ritonavir should be taken with meals to enhance gastrointestinal tolerability.,Absorption,,DDInter1607
No matching records,,,,,,DDInter1608
No matching records,,,,,,DDInter1609
No matching records,,,,,,DDInter1610
No matching records,,,,,,DDInter1611
No matching records,,,,,,DDInter1612
No matching records,,,,,,DDInter1613
1,food,"Food intake does not affect the total exposure to roflumilast and its pharmacologically active N-oxide metabolite, but delays the time to maximum concentration (Tmax) of roflumilast by one hour and reduces its peak plasma concentration (Cmax) by approximately 40%.",Roflumilast may be taken with or without food.,Others,,DDInter1614
No matching records,,,,,,DDInter1615
No matching records,,,,,,DDInter1616
No matching records,,,,,,DDInter1617
No matching records,,,,,,DDInter1618
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1619
No matching records,,,,,,DDInter1620
2,alcohol,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.  Episodes of hypoglycemia may last for 8 to 12 hours after ethanol ingestion.  By contrast, chronic alcohol abuse can cause impaired glucose tolerance and hyperglycemia.  Moderate alcohol consumption generally does not affect blood glucose levels in patients with well controlled diabetes.  A disulfiram-like reaction (e.g., flushing, headache, and nausea) to alcohol has been reported frequently with the use of chlorpropamide and very rarely with other sulfonylureas.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled d...More",Synergy,,DDInter1621
2,alcohol,Concomitant use of statin medication with substantial quantities of alcohol may increase the risk of hepatic injury.,Patients should be counseled to avoid substantial quantities of alcohol in combination with statin medications and clinicians should be aware of the increased risk for hepatotoxicity in these patients...More,Synergy,,DDInter1622
No matching records,,,,,,DDInter1623
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of CNS-active agents.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving CNS-active agents should be warned of this interaction and advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities r...More,Synergy,,DDInter1624
No matching records,,,,,,DDInter1625
No matching records,,,,,,DDInter1626
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of rufinamide.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.","To ensure maximal oral absorption, it is preferable to administer rufinamide with food.  Patients receiving rufinamide should be advised to avoid consumption of alcohol.  Ambulatory patients should be...More",Synergy,,DDInter1627
2,grapefruit juice,Grapefruit juice may increase the plasma concentrations of ruxolitinib.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruits.,"Patients treated with ruxolitinib should avoid consumption of grapefruit, grapefruit juice, and any supplement containing grapefruit extract.  Ruxolitinib may be administered with or without food.",Metabolism,,DDInter1628
No matching records,,,,,,DDInter1629
No matching records,,,,,,DDInter1630
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of central nervous system (CNS)-active agents.  Use in combination may result in additive CNS depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled against driving, operating machinery, or engaging in potential...More",Synergy,,DDInter1631
3,Tyrosine-rich foods,"Foods that contain large amounts of tyramine may precipitate a hypertensive crisis in patients treated with monoamine oxidase inhibitors (MAOIs).  The mechanism is inhibition of MAO-A, the enzyme responsible for metabolizing exogenous amines such as tyramine in the gut and preventing them from being absorbed intact.  Once absorbed, tyramine is metabolized to octopamine, a substance that is believed to displace norepinephrine from storage granules.  Although safinamide is considered a selective inhibitor of MAO-B, the selectivity may not be absolute even at recommended dosages.",Patients treated with safinamide should avoid consumption of products that contain large amounts of amines and protein foods in which aging or breakdown of protein is used to increase flavor.  These f...More,Synergy,,DDInter1631
No matching records,,,,,,DDInter1632
No matching records,,,,,,DDInter1633
No matching records,,,,,,DDInter1634
No matching records,,,,,,DDInter1635
No matching records,,,,,,DDInter1636
2,alcohol,The concurrent use of aspirin or nonsteroidal anti-inflammatory drugs (NSAIDs) and ethanol may lead to gastrointestinal (GI) blood loss.  The mechanism may be due to a combined local effect as well as inhibition of prostaglandins leading to decreased integrity of the GI lining.,Patients should be counseled on this potential interaction and advised to refrain from alcohol consumption while taking aspirin or NSAIDs.,Synergy,,DDInter1637
No matching records,,,,,,DDInter1638
2,food,Food increases the gastrointestinal absorption of sapropterin.,"Sapropterin should be administered with food, preferably at the same time each day.  Sapropterin tablets should be dissolved in 4 to 8 ounces (120 to 240 mL) of water or apple juice and taken within 1...More",Absorption,,DDInter1639
2,food,Food significantly increases the absorption of saquinavir.,Saquinavir mesylate should be taken with meals or within 2 hours after eating to enhance bioavailability.  Patients should be advised to avoid the consumption of large amounts of grapefruit and grapef...More,Absorption,,DDInter1640
2,grapefruit juice,Food significantly increases the absorption of saquinavir.,Saquinavir mesylate should be taken with meals or within 2 hours after eating to enhance bioavailability.  Patients should be advised to avoid the consumption of large amounts of grapefruit and grapef...More,Metabolism,,DDInter1640
No matching records,,,,,,DDInter1641
No matching records,,,,,,DDInter1642
No matching records,,,,,,DDInter1643
No matching records,,,,,,DDInter1644
No matching records,,,,,,DDInter1645
2,alcohol,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled d...More",Others,,DDInter1646
2,alcohol,"Use of anticholinergic agents with alcohol may result in sufficient impairment of attention so as to render driving and operating machinery more hazardous.  In addition, the potential for abuse may be increased with the combination.  The mechanism of interaction is not established but may involve additive depressant effects on the central nervous system.",Alcohol should generally be avoided during therapy with anticholinergic agents.  Patients should be counseled to avoid activities requiring mental alertness until they know how these agents affect the...More,Synergy,,DDInter1647
1,food,The coadministration with grapefruit juice may delay the absorption and increase the bioavailability of oral scopolamine.  The proposed mechanism is delay of gastric emptying as well as inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall induced by certain compounds present in grapefruits.,"Based on these findings, grapefruit juice is unlikely to affect the overall safety of scopolamine, but may delay its onset of action after oral administration. Therefore, we recommend taking scopolami...More",Absorption,,DDInter1647
No matching records,,,,,,DDInter1648
No matching records,,,,,,DDInter1649
3,alcohol,"Concurrent acute use of barbiturates and ethanol may result in additive CNS effects,  including impaired coordination, sedation, and death.  Tolerance of these agents may occur with chronic use.  The mechanism is related to inhibition of microsomal enzymes acutely and induction of hepatic microsomal enzymes chronically.",The combination of ethanol and barbiturates should be avoided.,Metabolism,,DDInter1650
No matching records,,,,,,DDInter1651
No matching records,,,,,,DDInter1652
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of central nervous system (CNS)-active agents.  Use in combination may result in additive CNS depression and/or impairment of judgment, thinking, and psychomotor skills.","Patients receiving CNS-active agents should be advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled against driving, operating machinery, or engaging in potential...More",Synergy,,DDInter1653
3,Tyrosine-rich foods,"Foods that contain large amounts of tyramine may precipitate a hypertensive crisis in patients treated with monoamine oxidase inhibitors (MAOIs).  The mechanism is inhibition of MAO-A, the enzyme responsible for metabolizing exogenous amines such as tyramine in the gut and preventing them from being absorbed intact.  Once absorbed, tyramine is metabolized to octopamine, a substance that is believed to displace norepinephrine from storage granules.  Although selegiline is considered a selective inhibitor of MAO-B, the selectivity may not be absolute even at recommended dosages.",Patients treated with oral selegiline and transdermal selegiline (greater than 6 mg/24 hour) should preferably avoid consumption of products that contain large amounts of amines and protein foods in w...More,Synergy,,DDInter1653
No matching records,,,,,,DDInter1654
No matching records,,,,,,DDInter1655
1,food,"Food prolongs the gastrointestinal absorption of selexipag.  When taken with food, the time to peak concentration (Tmax) was delayed and peak plasma concentration (Cmax) was approximately 30% lower.",Selexipag may be taken with or without food.  Tolerability may be improved when taken with food.,Absorption,,DDInter1656
No matching records,,,,,,DDInter1657
3,grapefruit juice,Grapefruit juice may increase the plasma concentrations of selpercatinib.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  Inhibition of hepatic CYP450 3A4 may also contribute.,Patients should limit or avoid consumption of grapefruit and grapefruit juice during treatment with selpercatinib.,Metabolism,,DDInter1658
3,grapefruit juice,"Grapefruit juice may increase the plasma concentrations of selumetinib, which undergoes metabolism primarily by CYP450 3A4 and to a lesser extent by CYP450 2C19, 1A2, 2C9, 2E1 and 3A5, as well as glucuronidation by UGT1A1 and UGT1A3.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  Inhibition of hepatic CYP450 3A4 may also contribute.","Selumetinib should be administered on an empty stomach at least 1 hour before or 2 hours after a meal.  Patients should avoid consumption of grapefruit, grapefruit juice, or supplements that contain g...More",Metabolism,,DDInter1659
2,alcohol,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled d...More",Synergy,,DDInter1660
No matching records,,,,,,DDInter1661
2,grapefruit juice,Limited clinical data suggest that consumption of grapefruit juice during treatment with sertraline may result in increased plasma concentrations of sertraline.  The proposed mechanism is inhibition of CYP450 3A4-mediated metabolism by certain compounds present in grapefruit.,Patients receiving sertraline should be advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and...More,Metabolism,,DDInter1662
2,alcohol,"Alcohol may potentiate some of the pharmacologic effects of sertraline.  Use in combination may result in additive central nervous system depression and/or impairment of judgment, thinking, and psychomotor skills.",Patients receiving sertraline should be advised to avoid or limit consumption of alcohol.  Ambulatory patients should be counseled to avoid hazardous activities requiring complete mental alertness and...More,Synergy,,DDInter1662
No matching records,,,,,,DDInter1663
No matching records,,,,,,DDInter1664
2,alcohol,Alcohol may potentiate the central nervous system and cardiovascular effects of centrally-acting appetite suppressants.,"Concomitant use of centrally-acting appetite suppressants and alcohol should be avoided if possible, especially in patients with a history of cardiovascular disease.  Patients should be counselled to ...More",Synergy,,DDInter1665
2,alcohol,"Additive hypotensive effects may occur when phosphodiesterase-5 (PDE5) inhibitors are used with alcohol, as both are mild systemic vasodilators.","Patients taking PDE5 inhibitors should avoid consuming large amounts of alcohol, which may increase the potential for orthostatic signs and symptoms including increase in heart rate, decrease in stand...More",Synergy,,DDInter1666
2,grapefruit juice,Coadministration with grapefruit juice may slightly increase the oral bioavailability and delay the onset of action of sildenafil.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruits.,It may be advisable to avoid administration of sildenafil with grapefruit juice to prevent potential toxicity and delay in onset of action.,Metabolism,,DDInter1666
2,alcohol,The concurrent use of ethanol and alpha-1 adrenergic blockers may cause increased hypotensive effects.  Patients with aldehyde dehydrogenase deficiencies (primarily Asians) may be at a higher risk of this interaction.,Patients who develop  a flushing reaction after ethanol ingestion (indicates a possible aldehyde dehydrogenase deficiency) should be advised to avoid ethanol or limit their intake.  All patients shoul...More,Synergy,,DDInter1667
2,high-fat foods,"Food may reduce the oral bioavailability of silodosin.  The effect of a moderate-fat, moderate-calorie meal on silodosin pharmacokinetics was variable and decreased silodosin maximum plasma concentration (Cmax) by approximately 18% to 43% and systemic exposure (AUC) by 4% to 49% across three different studies.  The maximum effect of food (i.e., coadministration with a high-fat, high-calorie meal) on the pharmacokinetics of silodosin was not evaluated.",Patients should be instructed to take silodosin with a meal to reduce the risk of adverse events.,Absorption,,DDInter1667
No matching records,,,,,,DDInter1668
No matching records,,,,,,DDInter1669
No matching records,,,,,,DDInter1670
No matching records,,,,,,DDInter1671
No matching records,,,,,,DDInter1672
2,high-fat foods,"Food significantly enhances the oral bioavailability of simeprevir, although the type of food does not seem to matter.  In healthy study subjects, administration of simeprevir after a high-fat, high-caloric (928 kcal) breakfast increased systemic exposure (AUC) by 61% and delayed absorption by 1 hour, while administration after a normal caloric (533 kcal) breakfast increased AUC by 69% and delayed absorption by 1.5 hours.","To ensure maximal oral absorption, simeprevir should be administered with food.",Absorption,,DDInter1673
No matching records,,,,,,DDInter1674
2,alcohol,"Concomitant use of statin medication with substantial quantities of alcohol may increase the risk of hepatic injury.  Transient increases in serum transaminases have been reported with statin use and while these increases generally resolve or improve with continued therapy or a brief interruption in therapy, there have been rare postmarketing reports of fatal and non-fatal hepatic failure in patients taking statins.  Patients who consume substantial quantities of alcohol and/or have a history of liver disease may be at increased risk for hepatic injury.  Active liver disease or unexplained transaminase elevations are contraindications to statin use.",Patients should be counseled to avoid substantial quantities of alcohol in combination with statin medications and clinicians should be aware of the increased risk for hepatotoxicity in these patients...More,Synergy,,DDInter1675
3,grapefruit juice,Coadministration with grapefruit juice may significantly increase the plasma concentrations of lovastatin and simvastatin and their active acid metabolites.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.,"Patients receiving therapy with lovastatin, simvastatin, or red yeast rice (which contains lovastatin) should be advised to avoid the consumption of grapefruit and grapefruit juice.  Fluvastatin, prav...More",Metabolism,,DDInter1675
No matching records,,,,,,DDInter1676
No matching records,,,,,,DDInter1677
2,grapefruit juice,"Consumption of food can decrease the rate and extent of gastrointestinal absorption of sirolimus.   Also, the consumption of grapefruit juice may result in increased sirolimus trough concentrations.",Experts recommend that this drug be taken either at least one hour prior to eating or consistently with or without food to avoid variations in sirolimus blood levels.  The manufacturer recommends agai...More,Others,,DDInter1678
2,alcohol,"Alcohol may cause hypoglycemia or hyperglycemia in patients with diabetes.  Hypoglycemia most frequently occurs during acute consumption of alcohol.  Even modest amounts can lower blood sugar significantly, especially when the alcohol is ingested on an empty stomach or following exercise.  The mechanism involves inhibition of both gluconeogenesis as well as the counter-regulatory response to hypoglycemia.","Patients with diabetes should avoid consuming alcohol if their blood glucose is not well controlled, or if they have hypertriglyceridemia, neuropathy, or pancreatitis.  Patients with well controlled d...More",Others,,DDInter1679
No matching records,,,,,,DDInter1680
No matching records,,,,,,DDInter1681
No matching records,,,,,,DDInter1682
No matching records,,,,,,DDInter1683
No matching records,,,,,,DDInter1684
No matching records,,,,,,DDInter1685
No matching records,,,,,,DDInter1686
No matching records,,,,,,DDInter1687
No matching records,,,,,,DDInter1688
No matching records,,,,,,DDInter1689
3,alcohol,"Alcohol may potentiate the central nervous system and respiratory depressant effects of sodium oxybate, which is the sodium salt of gamma hydroxybutyrate (GHB).  An increased risk of serious adverse reactions such as respiratory depression, hypotension, profound sedation, syncope, coma, and even death should be anticipated.",The concomitant use of sodium oxybate with alcohol is considered contraindicated.  The first dose of sodium oxybate should be taken at least 2 hours after a meal to ensure maximal absorption.,Synergy,,DDInter1690
No matching records,,,,,,DDInter1691
No matching records,,,,,,DDInter1692
No matching records,,,,,,DDInter1693
No matching records,,,,,,DDInter1694
No matching records,,,,,,DDInter1695
No matching records,,,,,,DDInter1696
No matching records,,,,,,DDInter1697
No matching records,,,,,,DDInter1698
No matching records,,,,,,DDInter1699
No matching records,,,,,,DDInter1700
2,high-fat foods,"Grapefruit juice may increase the plasma concentrations of orally administered drugs that are substrates of the CYP450 3A4 isoenzyme.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  Because grapefruit juice inhibits primarily intestinal rather than hepatic CYP450 3A4, the magnitude of interaction is greatest for those drugs that undergo significant presystemic metabolism by CYP450 3A4 (i.e., drugs with low oral bioavailability).  In general, the effect of grapefruit juice is concentration-, dose- and preparation-dependent, and can vary widely among brands.  Certain preparations of grapefruit juice (e.g., high dose, double strength) have sometimes demonstrated potent inhibition of CYP450 3A4, while other preparations (e.g., low dose, single strength) have typically demonstrated moderate inhibition.  Pharmacokinetic interactions involving grapefruit juice are also subject to a high degree of interpatient variability, thus the extent to which a given patient may be affected is difficult to predict.","Sonidegib should be administered on an empty stomach, at least 1 hour before or 2 hours after a meal.  Patients should avoid consumption of grapefruit or grapefruit juice during treatment with sonideg...More",Metabolism,,DDInter1701
2,high-fat foods,"Food may reduce the oral absorption and bioavailability of sorafenib.  According to the product labeling, sorafenib bioavailability was reduced by 29% when administered with a high-fat meal compared to administration in the fasted state.  When given with a moderate-fat meal, bioavailability was similar to that in the fasted state.","To ensure maximal and consistent oral absorption, sorafenib should be taken at least one hour before or two hours after eating.",Absorption,,DDInter1702
No matching records,,,,,,DDInter1703
2,alcohol,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.",Caution and close monitoring for development of hypotension is advised during coadministration of these agents.  Some authorities recommend avoiding alcohol in patients receiving vasodilating antihype...More,Synergy,,DDInter1704
No matching records,,,,,,DDInter1705
No matching records,,,,,,DDInter1706
